Coding,Message
Community,Scuba Diving Magazine voted us #1 in Best Marine Environment!! \nThank you to everyone that keeps their eyes and ears open on the reef that help us protect our future!! :)
Action,We are collecting unsmashed drink cans at the RMP.\n If you have any laying around your house that you're not intending to use please drop them off upstairs at the office. \nWe are hoping to help out with supplies for the Basura Boat Race on the 31st. \nIf you are interested in more information on the race please contact West End Divers.
Community,"Tom, If you and your family wish to volunteer over the summer please drop by our office when you arrive and we can see what volunteer programs we have running at that time"
Information,Good morning friends and supporters! \nYesterday was a great day and just in case you are feeling under the weather today here are some easy ways to feel a little better :)
Information,"The graph indicates funds generated from the sale of the ""user fee"" and membership payments by dive shops and businesses outside the SBWEMR for 2014. It does not include user fees on consignment, t-shirt sales or lionfish licenses. We would like to thank all of our supporters, big and small, and highlight that without you promoting our conservation message, we would be unable to continue protecting Roatan's reefs. It was a great 2014 and we hope that we can increase support in 2015"
Community,"Roatan has had many school groups that come down to learn to dive or to do research on our reef! This year we have had 2 big groups that not only came to visit and learn but also fund raised and gave back to our organization! Thank you to St. George's School of Montreal and School of Environmental Studies, Minnesota for your generous help and continuous support! \n\nIt's because of schools, teachers and students like you that give us hope for the future! Conservation and awareness at their finest!"
Information,Another reason to stop using plastic bags and stop littering?? We think so!\nThis Reef Shark was found dead with plastic bag stuck to it\u2019s digestive tract. We consider this to be the cause of death as there was no other evidence of the shark being tangled or having any other injuries. Keep our sharks safe. They are an important part of our eco system.
Action,Nice and straight to the point. LIKE and SHARE to make people more AWARE.
Information,page 2 of the brochure
Community,"Hola Leonardo! Nosotros no tenemos un programa de monitoreo o anidamiento semi artificial de tortugas marinas, sin embargo hay otros proyectos en los cuales puedes ser voluntario (para m\xe1s informaci\xf3n, escr\xedbenos un correo a info@roatanmarinepark.net). O si prefieres, puedes contactar otras organizaciones que s\xed realizan estos proyectos: BICA Utila, Fundaci\xf3n Cayos Cochinos, PROTEctor en el Golfo de Fonseca"
Community,"Polled the staff and the results are in! Marta: Blue Tang, Tasha: Sargent Major, Christi: Flying Gunard, Nick: Trunkfish, Giaco: Scalloped Hammerhead, Oscar: Parrotfish.. will ask the other 3 park rangers :)"
Information,"These are two juvenile hawksbill turtles that someone attempted to sell to Barefoot Divers, Roatan this week. Instead of receiving any cash for these little guys, the turtles were confiscated and relocated to Maya Key."
Community,Best Find category?? :)
Community,Daryl Hales this is a Caribbean Reef.
Community,"Thanks Dian Lynn, 2015 is shaping up to be a great calendar!!"
Action,Last day to send your entries in. Please mail to info@roatanmarinepark.net\nGood luck to all entrants
Information,Hopes everyone has something special planned for Earth Day on the 22nd \nExpresa su deseo de que todos tienen algo especial preparado para el D\xeda de la Tierra el d\xeda 22\nhttp://www.earthday.org/earthday2010
Information,"First part of our Mangrove Reforestation  Project of Big Bight. \nToday we are putting in 100 plants and starting with a pilot project of 30 seedlings. \nThank you to our volunteers from Diamonds International for the hard work,Guaiabara and Judith Kluck- van Nispen for the support and location and look forward to working with Nuna Academy next school year in continuation of the project :)"
Action,Join us to celebrate our 10th Birthday
Action,"Still looking for that perfect gift for Christmas? The 2014 RMP calendar is an ideal gift for any marine lover and show cases the winners from the 2013 photo competition. Whether you love flamingo tongues, reef sharks, blennies, gobies or of course turtles, our annual calendar has them all. Available in our eco-store and dive shops around the island. We can also send them to you pretty much anywhere in the world so get buying!"
Action,Let's get this show on the road! It's now time to show off all those great photos you have been taking while diving on Roatan! \nDon't miss this great opportunity to have your photos showcased!
Information,I will update the list with bucca quay which is located just west of black rock in west bay
Community,Sorry...if we had known when you were coming we would have put in the request! \nMaybe your next trip should be a week longer ;)
Information,2015 has officially been the year of the Whale Shark! Today marks the 5th day in a row that they have been spotted just off the coast of Roatan. If you haven't been out to swim with them yet you should try your hardest to get out there as they rarely stick around for this long! \nWe do however need your help in protecting them so please don't forget the rules while out there swimming with these gentle beauties!
